510(K) NUMBER,PRODUCT,COMPANY,APPROVAL DATE
K242503,Trilly Pediatric Oxygenator with Integrated Arterial Filter (US5232),Eurosets Srl,11/24/2025
K242976,Medical Wire Fecal Transwab Liquid Cary Blair Medium Collection and Transport Device,Medical Wire & Equipment Company (Bath) Ltd.,11/26/2025
K250634,BCM2-Body Composition Monitor,Fresenius Medical Care Renal Therapies Group LLC,11/24/2025
K250635,FEops HEARTguide Simulation Application,Feops Nv,11/25/2025
K250636,Sophy Mini Monopressure Valve (SM1),Sophysa,11/28/2025
K250694,Scaida BrainCT-ICH (v1.0),Mlhealth 360,11/25/2025
K250769,Dakota LP System,Precision Spine Inc.,11/24/2025
K251058,Tru Kidney Health Test Panel; Tru Analyzer,Truvian Health,11/26/2025
K251070,Akura Thrombectomy System,Akura Medical,11/25/2025
K251401,PennPET Explorer Positron Emission Tomograph,Trustees Of The University Of Pennsylvania,11/25/2025
K251550,NX01 (NX01),Naox Technologies Sas,11/25/2025
K251631,The BAG manual resuscitator and accessories,Laerdal Medical As,11/24/2025
K251674,Fenom Flo™ FeNO Monitoring System,Mgc Diagnostics Corporation,11/26/2025
K251697,Flowflex® Plus Strep A Rapid Test Cassette; Flowflex® Plus Strep A Rapid Test Strip,Acon Laboratories Inc.,11/26/2025
K251798,RCT700,Ray Co. Ltd.,11/25/2025
K251932,Spectra Platinum,Uzinmedicare Co. Ltd.,11/25/2025
K252000,uDR Arria & uDR Aris,Shanghai United Imaging Healthcare Co. Ltd.,11/26/2025
K252004,enCore Night Guard,Encore Guards,11/25/2025
K252161,Hushd Avera,Good Sleep Co Pte  Ltd.,11/25/2025
K252217,CT VScore+,Canon Medical Informatics Inc.,11/28/2025
K252248,CEREC Tessera Abutment System,Dentsply Sirona,11/26/2025
K252253,Geistlich Mucograft® /Geistlich Mucograft®  Seal; Geistlich Fibro-Gide®,Geistlich Pharma Ag,11/25/2025
K252260,RELIEEV HSG Catheter (HSG7FA1),Li Medical Corporation  Ltd.,11/26/2025
K252289,Eva Scalp Cooling System,Stemtech Medical Devices Private Limited,11/25/2025
K252328,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,Ge Medical Systems Ultrasound and Primary Care Diagnostics,11/24/2025
K252355,K-SHIELD Advantage PORT ACCESS INFUSION SET With High Pressure Tubing,Sb-Kawasumi Laboratories Inc.,11/26/2025
K252366,a2z-Unified-Triage,A2z Radiology Ai Inc.,11/24/2025
K252388,Vanquish Water Vapor Ablation Device,Francis Medical Inc.,11/26/2025
K252405,Medline ReNewal Reprocessed Boston Scientific Dynamic Tip Unidirectional Steerable Diagnostic Catheter,Surgical Instrument Service and Savings Inc.,11/26/2025
K252509,AlphaVac Multipurpose Mechanical Aspiration System F1885,Angio Dynamics Inc.,11/24/2025
K252555,Medusa Orthopedics Boa External Fixation System,Medusa Orthopedics LLC,11/25/2025
K252610,ZSFab Lumbar Interbody System,Zsfab Inc.,11/25/2025
K252658,Medical Diode Laser Systems (TR-B),Baoding Te'Anzhou Electronic Technology Co. Ltd.,11/28/2025
K252688,Transcutaneous Electrical Nerve Stimulator (RJTENS-2),Bozhou Rongjian Medical Appliance Co. Ltd.,11/24/2025
K252704,F Care RF System (00MEDRF4000US 05RAFAELOPROBE 05SPHERAPROBE 06OUTPUTKAB 06Pedal1St),F Care Systems Usa LLC,11/24/2025
K252760,Carriere® Motion Pro® Clear Bite Corrector,Ortho Organizers Inc.,11/27/2025
K252762,HALO AP Dx,Indica Labs LLC,11/25/2025
K252771,Holmium Laser System (Potent HP90); Holmium Laser System (Potent HP100); Holmium Laser System (Potent HP9120); Holmium Laser System (Potent HP140); Holmium Laser System (Potent HP150),Guangzhou Potent Medical Equipment Joint-Stock Co.  Ltd.,11/24/2025
K252787,Thulium Fiber Laser System (TFL-A); Thulium Fiber Laser System (TFL-B),Guangzhou Potent Medical Equipment Joint-Stock Co.  Ltd.,11/24/2025
K252889,Single Use 3-Lumen Needle Knife V (KD-V441M KD-V451M),Olympus Medical Systems Corporation,11/25/2025
K253168,0.014” Willow Guidewire,Arbor Endovascular LLC,11/26/2025
K253219,LeafPure-Echo (LM-LPNdA),Shenzhen Leaflife Technology Co. Ltd.,11/25/2025
K253269,OEC One CFD,Ge Hualun Medical Systems Co.  Ltd.,11/26/2025
K253303,Dendrite Imaging System,Dendrite Imaging Inc.,11/28/2025
K253304,IPL Hair Removal Device (KA-10 KA-11 KA-11C KA-11D KA-18 KA-20 KA-21 KA-21C),Dongguan Lide Electric Appliance Co. Ltd.,11/25/2025
K253310,7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30),Esaote S.P.A.,11/25/2025
K253344,BELLUS-Q,Speclipse. Inc.,11/25/2025
K253365,LuxCreo Flexible Partial Denture Resin,Luxcreo Inc.,11/25/2025
K253407,NeVa PV Thrombectomy Device,Vesalio Inc.,11/24/2025
